Suburb,Site,Exposure period,Notes,Date added,Health advice
Docklands,Hungry Jacks - Southern Cross Station 14/99 Spencer Street Docklands VIC 3008,23/05/2021 7:30pm - 7:40pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Docklands,"Southern Cross Station, Toilets Under Bourke Street Bridge 14/99 Spencer Street Docklands VIC 3059",23/05/2021 7:35pm - 8:15pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Doncaster,"Betty's Burgers & Concrete Co. (Westfield Doncaster) Tenancy R1 & R2, Level 2, 619 Doncaster Road Doncaster VIC 3108",23/05/2021 7:40pm - 9:30pm,Case attended venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Doncaster East,United Service Station Doncaster East 183-185 Reynolds Road Doncaster East VIC 3109,15/05/2021 4:50pm - 5:30pm,Case attended venue,31/05/2021,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result."
Doreen,Laurimar Medical Centre 120 - 122 Painted Hills Road Doreen VIC 3754,25/05/2021 10:15am - 11:10am,Case attended,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Doreen,Woolworths Laurimar 95 Hazel Glen Drive Doreen VIC 3754,26/05/2021 9:02am - 9:15am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Elwood,Turtle Cafe Elwood 34 Glen Huntly Rd Elwood VIC 3184,24/05/2021 7:42am - 8:20am,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,ALDI Epping 347-371 Dalton Road Epping VIC 3076,23/05/2021 6:00pm - 7:30pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,"Chemist Depot Epping, Pacific Epping Shoping Centre 571-583 High Street Epping VIC 3076",23/05/2021 11:15am - 12:00pm,Case attended venue,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,"Chemist Warehouse Shop 15, Dalton Village, 351-371 Dalton Road Epping VIC 3076",19/05/2021 6:45pm - 8:00pm,Case attended venue,25/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Epping,Coles Epping Shop Number Q002. Pacific Epping Cooper Street & High street Epping VIC 3076,20/05/2021 6:45pm - 7:35pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
